audio	condition	item	stimulus	answer
1_1_fill	M_Pl	fill	В кабинете восемь шкафов у окна битком набиты бумагами.	0
2_1_exp	M_Sg	exp	"Ужасно смешная у этого клоуна шутка в представлении, надо запомнить."	0
3_1_exp	NM_Pl	exp	"недостаточно большая в этом городе парковки в центре, на всех мест не хватит."	1
4_1_fill	M_Pauc	fill	В небе три самолета яркого цвета летели на север.	0
5_1_exp	M_Pl	exp	"Удивительно плохие у Мишкиного сына застежки на куртке, вот он и бегает нараспашку."	0
6_1_fill	NM_Pauc	fill	В книжном два романов о гангстерах продавались без наценки.	1
7_1_fill	NM_Pl	fill	На площади восемь магазина рядом с музеем торговали местными сувенирами.	1
8_1_exp	NM_Sg	exp	"Совершенно косые у тебя на свитере полоска посередине, так и должно быть?"	1
9_1_exp	M_Sg	exp	"Явно неделовая у нашего начальника поездка в Париж, очень подозрительно."	0
10_1_fill	NM_Pauc	fill	В городе два заводов у реки сбрасывают в нее отходы.	1
11_1_exp	NM_Pl	exp	"на редкость простая у третьего класса задачки по математике, надо усложнить."	1
12_1_fill	M_Pl	fill	В магазине семь чайников из Китая стоят дороже остальных	0
13_1_fill	M_Pauc	fill	На конкурсе три театра юного зрителя получили главные награды.	0
14_1_exp	M_Pl	exp	"Совершенно пустые у Сережи дома полки на стене,  куда делись все книги?"	0
15_1_exp	NM_Sg	exp	"Абсолютно любые к этому пиджаку рубашка лучше, чем свитер."	1
16_1_fill	M_Pl	fill	В музее пять портретов прошлого века были украдены строителями.	0
17_1_exp	M_Sg	exp	"чересчур дорогая у вашего мэра квартира в центре, откуда у него столько денег?"	0
18_1_fill	NM_Pl	fill	На карте пять острова в океане были помечены красным.	1
19_1_fill	NM_Pauc	fill	В поезде четыре проводников в форме следят за порядком.	1
20_1_exp	NM_Pl	exp	"Всегда густая у этой фирмы краски для стен, удобно красить!"	1
21_1_exp	M_Pl	exp	"Невозможно худые у этого больного руки на фотографии, такого не может быть!"	0
22_1_fill	NM_Pl	fill	На стадионе восемь парня в футболках бегают уже час.	1
23_1_exp	NM_Sg	exp	"Очень тупые у нашего соседа лопата на даче, ничего не вскопаешь."	1
24_1_fill	M_Pauc	fill	В гостинице два гостя из Америки жаловались на обслуживание.	0
25_1_fill	M_Pl	fill	В деревне пять домов у озера выставлены на продажу.	0
26_1_exp	M_Sg	exp	"Страшно крутая у Марины во дворе горка для детей, маленьким опасно."	0
27_1_exp	NM_Pl	exp	Невероятно дурная у Наташиного брата привычки с детства: собираться в последний момент.	1
28_1_fill	M_Pauc	fill	В начале года три сотрудника из бухгалтерии были уволены без предупреждения.	0
29_1_exp	M_Pl	exp	"совсем сухие из-за жары у вас ромашки в саду, уже не спасти."	0
30_1_fill	NM_Pauc	fill	На собрании четыре политиков из области выступили с предложением.	1
31_1_fill	NM_Pl	fill	В телепрограмме пять американца из Техаса победили на конкурсе.	1
32_1_exp	NM_Sg	exp	"Ярко голубые перед входом в театр афиша спектакля, сразу заметишь."	1
33_1_exp	M_Sg	exp	"не совсем типовая возле нашего дома новостройка с гаражом, наверное, удобно."	0
34_1_fill	NM_Pauc	fill	В суде три преступников за решёткой угрожали охраннику.	1
35_1_exp	NM_Pl	exp	"Насколько же тугая у Кирилла дома пружины в замке, открыть невозможно."	1
36_1_fill	M_Pl	fill	В детективе семь бандитов с бритыми головами оказались помощниками полицейского.	0
37_1_fill	M_Pauc	fill	В зоопарке три тигра из Индии заболели воспалением легких.	0
38_1_exp	M_Pl	exp	"Снова мясные у бабушки дома котлеты на обед, а я же не ем мяса!"	0
39_1_exp	NM_Sg	exp	"На удивление злые в журнале колонка о блондинках, это уж слишком!"	1
40_1_fill	M_Pl	fill	Поздно ночью шесть моряков на барже заметили вдали акулу.	0
41_1_exp	M_Sg	exp	"На редкость молодая для футбольного клуба команда из Андорры, а какие игроки!"	0
42_1_fill	NM_Pl	fill	В думе семь закона об образовании обсуждались всю неделю.	1
43_1_fill	NM_Pauc	fill	Во дворе четыре столов рядом с песочницей испортились после дождя.	1
44_1_exp	NM_Pl	exp	"Оказывается, шерстяная в холодную погоду шапки гораздо лучше, чем мех."	1
45_1_exp	M_Pl	exp	"Ужасно ледяные у дочки с мороза ладошки после прогулки, неужели потеряла варежки?"	0
46_1_fill	NM_Pl	fill	При обыске шесть ящика на замке оказались полны драгоценностей.	1
47_1_exp	NM_Sg	exp	"В который раз чужие у нашего дома машина во дворе, негде парковаться."	1
48_1_fill	M_Pauc	fill	В машине три арбуза без косточек валяются в багажнике.	0
49_1_fill	M_Pl	fill	В гостиной восемь пакетов с подарками лежат под елкой.	0
50_1_exp	M_Sg	exp	"Опять пустая у тебя в холодильнике банка из-под варенья, помой уже!"	0
51_1_exp	NM_Pl	exp	"Теперь живая детскому саду ёлки не по средствам, придётся обойтись."	1
52_1_fill	M_Pauc	fill	В ресторане три стола с закусками стояли у окна.	0
53_1_exp	M_Pl	exp	"Снова пищевые противного цвета краски на пирожных, невозможно есть!"	0
54_1_fill	NM_Pauc	fill	Перед вокзалом два чемоданов без замка лежат на тележке.	1
55_1_fill	NM_Pl	fill	В хоре девять мальчика со свечками стояли впереди всех.	1
56_1_exp	NM_Sg	exp	"9 века золотые у Светиного начальника монетка в коллекции, он всем показывает."	1
57_1_exp	M_Sg	exp	"Совершенно гнилая у маленького мальчика груша в руках, отберите поскорее!"	0
58_1_fill	NM_Pauc	fill	На спектакле три художников из Москвы сидели в пaртере.	1
59_1_exp	NM_Pl	exp	"Опять овощная с картошкой и луком запеканки в столовой, каждый день одно и то же!"	1
60_1_fill	M_Pl	fill	В зоопарке шесть козлов на привязи топтались у кормушки.	0
61_1_fill	M_Pauc	fill	На складе три продавца косметики стояли возле полок.	0
62_1_exp	M_Pl	exp	"Да это же именные в подарок от дедушки ложки из серебра, ты разве забыл?"	0
63_1_exp	NM_Sg	exp	"Наконец-то ночные на свежем воздухе прогулка по парку, весь день мечтал!"	1
64_1_fill	NM_Pl	fill	В шкафу семь шарфа на полке были все в пятнах.	1
65_1_exp	M_Sg	exp	"Обычно цветная в книге для малышей картинка лучше, чем гравюры."	0
				
				
				
				
				
				
				
				
				
				
				
				
				
				
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
